what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.ws.creation.ui,1.0.510.v201011041151,"org.eclipse.jst.ws.creation.ui",1520739002988
started,bundle,org.eclipse.jst.ws.consumption.ui,1.1.302.v201101191731,"org.eclipse.jst.ws.consumption.ui",1520739003014
started,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1520739003170
started,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1520739003171
started,bundle,org.eclipse.jst.ws.consumption,1.0.507.v201004211805,"org.eclipse.jst.ws.consumption",1520739003299
started,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1520739003411
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1520739003435
started,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1520739003462
started,bundle,org.eclipse.wst.ws.explorer,1.0.507.v201004220342,"org.eclipse.wst.ws.explorer",1520739003524
started,bundle,org.eclipse.jst.ws,1.0.507.v201004211805,"org.eclipse.jst.ws",1520739003557
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739004074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739017968
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.103.v201101271715,"org.eclipse.wst.common.project.facet.ui",1520739029609
started,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1520739029610
started,bundle,org.eclipse.jst.common.project.facet.ui,1.4.102.v201008182136,"org.eclipse.jst.common.project.facet.ui",1520739029891
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739030032
started,bundle,org.eclipse.jpt.core,2.3.3.v201102172310,"org.eclipse.jpt.core",1520739040749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739041554
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1520739048802
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1520739048815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739051157
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1520739052042
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/userDemo",1520739052049
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739052129
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1520739052134
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1520739052135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739055478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739074638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739259280
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520739998804
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740008097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740017814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1520740017825
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740113642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740182936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740186581
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1520740191180
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740194616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740196878
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740198251
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740203127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740203929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1520740203938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740206922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740207792
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1520740207800
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740213205
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520740214395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740215616
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740219657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740220546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1520740220560
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740223804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1520740224388
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740225521
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740232371
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1520740233177
