127.0.0.1 - - [17/Apr/2018:16:19:58 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:19:59 +0800] "GET /drp/AdminLoginServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:29 +0800] "GET /drp/jsp/admin/login/login.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:29 +0800] "GET /drp/jsp/admin/login/css/register.css HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:29 +0800] "GET /drp/register/script/register.js HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:29 +0800] "GET /drp/jsp/admin/login/images/loginBackground.jpg HTTP/1.1" 200 396788
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:35 +0800] "GET /drp/jsp/admin/login/login.jsp HTTP/1.1" 200 1042
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:36 +0800] "GET /drp/jsp/admin/login/css/register.css HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:36 +0800] "GET /drp/register/script/register.js HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:36 +0800] "GET /drp/jsp/admin/login/images/loginBackground.jpg HTTP/1.1" 200 396788
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:36 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "POST /drp/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "GET /drp/jsp/admin/body/frame.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "GET /drp/jsp/admin/body/header.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "GET /drp/jsp/admin/body/left.jsp HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "GET /drp/jsp/admin/body/css/header.css HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "GET /drp/jsp/admin/body/UserStore/bodys.jsp HTTP/1.1" 200 816
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "GET /drp/jsp/admin/body/UserStore/css/body.css HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:20:56 +0800] "GET /drp/jsp/admin/body/UserStore/js/bodyJs.js HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:21:00 +0800] "GET /drp/StoreSelectAllServlet HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:21:02 +0800] "GET /drp/UserSelectAllServlet HTTP/1.1" 200 1484
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:21:05 +0800] "GET /drp/StoreSelectAllServlet HTTP/1.1" 200 4437
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:21:43 +0800] "GET /drp/jsp/admin/body/frame.jsp HTTP/1.1" 200 532
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:21:43 +0800] "GET /drp/jsp/admin/body/header.jsp HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:21:43 +0800] "GET /drp/jsp/admin/body/left.jsp HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [17/Apr/2018:16:21:43 +0800] "GET /drp/jsp/admin/body/UserStore/bodys.jsp HTTP/1.1" 200 1484
